ORF,RepTime
YAL001C,18.9541988
YAL002W,21.94947964
YAL003W,24.68799641
YAL004W,25.73579521
YAL005C,26.0345876
YAL007C,26.7631083
YAL008W,26.93595788
YAL009W,27.1620222
YAL010C,27.5556613
YAL011W,28.2634585
YAL012W,29.0410952
YAL013W,29.6364204
YAL014C,30.0075105
YAL015C,30.201771
YAL016C-A,30.153593
YAL016C-B,30.089456
YAL016W,30.23852685
YAL017W,29.8716474
YAL018C,30.5607875
YAL019W,32.05846527
YAL019W-A,33.3681571
YAL020C,33.57201617
YAL021C,34.1025381
YAL022C,33.79606507
YAL023C,33.0767581
YAL024C,32.30746307
YAL025C,32.6569712
YAL026C,33.352813
YAL026C-A,33.4247492
YAL027W,33.3802509
YAL028W,33.21071238
YAL029C,33.3541213
YAL030W,34.578434
YAL031C,35.7753136
YAL031W-A,36.63289461
YAL032C,37.3533005
YAL033W,38.0141774
YAL034C,38.840457
YAL034C-B,39.0578622
YAL034W-A,39.0639451
YAL035W,38.56945988
YAL036C,37.0539934
YAL037C-A,35.44578124
YAL037C-B,35.0026372
YAL037W,36.1453765
YAL038W,34.8358856
YAL039C,33.52447176
YAL040C,33.26740299
YAL041W,33.3647546
YAL042C-A,33.8379847
YAL042W,33.72303653
YAL043C,34.2082095
YAL044C,34.5784222
YAL044W-A,34.67107964
YAL045C,34.6775515
YAL046C,34.7419334
YAL047C,34.8521022
YAL047W-A,34.84436407
YAL048C,34.7660766
YAL049C,34.5439994
YAL051W,34.232603
YAL053W,34.2012863
YAL054C,35.087833
YAL055W,35.772648
YAL056C-A,37.27123054
YAL056W,36.63357585
YAL058W,37.4560976
YAL059C-A,37.7325496
YAL059W,37.718986
YAL060W,37.7865824
YAL061W,37.6102945
YAL062W,36.994183
YAL063C,33.21220739
YAL063C-A,32.0232592
YAL064C-A,27.640131
YAL064W,31.74005349
YAL064W-B,28.525861
YAL065C,29.071259
YAL066W,31.39536966
YAL067C,35.0169744
YAL067W-A,38.9933435
YAL068C,39.3390172
YAL068W-A,40.332141
YAL069W,40.4869068
YAR002C-A,18.866848
YAR002W,18.34709
YAR003W,19.78819042
YAR007C,22.0193578
YAR008W,24.0653038
YAR014C,19.6777427
YAR015W,16.4701492
YAR018C,15.2251729
YAR019C,14.865317
YAR019W-A,15.8934466
YAR020C,17.82296527
YAR023C,21.2663031
YAR027W,26.2222141
YAR028W,26.999916
YAR029W,27.6387224
YAR030C,27.7469555
YAR031W,27.98348922
YAR033W,28.32799481
YAR035C-A,28.8148312
YAR035W,28.7106679
YAR042W,29.20191317
YAR047C,35.7781994
YAR050W,38.1997433
YAR053W,39.7062072
YAR060C,51.3065331
YAR064W,48.7074432
YAR066W,47.70486
YAR068W,46.5806884
YAR069C,45.4386509
YAR070C,45.02422275
YAR071W,43.84655898
YAR073W,41.7458919
YBL001C,17.56601218
YBL002W,17.384267
YBL003C,17.043473
YBL004W,15.5585705
YBL005W,23.0437
YBL006C,23.36228204
YBL006W-A,23.360766
YBL007C,22.99141737
YBL008W,21.3890152
YBL008W-A,20.56042006
YBL009W,19.7549688
YBL010C,18.8475708
YBL011W,18.17602525
YBL012C,17.9760215
YBL013W,17.903349
YBL014C,18.0348372
YBL015W,19.33041138
YBL016W,20.2095465
YBL017C,22.7901865
YBL018C,25.0741612
YBL019W,25.89586627
YBL020W,27.1977604
YBL021C,28.0216106
YBL022C,28.9947082
YBL023C,29.578118
YBL024W,29.6359288
YBL025W,29.5724458
YBL026W,29.5482248
YBL027W,29.624926
YBL028C,29.80587106
YBL029C-A,30.5415578
YBL029W,30.015538
YBL030C,30.8207064
YBL031W,31.13346
YBL032W,31.46451886
YBL033C,31.7989902
YBL034C,32.2887524
YBL035C,32.6535557
YBL036C,32.7645026
YBL037W,32.859337
YBL038W,32.987598
YBL039C,33.1639236
YBL039C-A,33.1468412
YBL039W-A,33.41315
YBL040C,33.672816
YBL041W,33.9635591
YBL042C,34.900736
YBL043W,35.726341
YBL044W,35.966524
YBL045C,36.2214027
YBL046W,36.3979006
YBL047C,36.4624502
YBL048W,36.4874246
YBL049W,36.5174032
YBL050W,36.712095
YBL051C,37.19602295
YBL052C,38.3063102
YBL053W,38.7138824
YBL054W,39.1334
YBL055C,39.86249401
YBL056W,40.214792
YBL057C,40.21767
YBL058W,40.0113581
YBL059C-A,39.270552
YBL059W,39.57157106
YBL060W,38.4019722
YBL061C,36.479826
YBL062W,35.8603992
YBL063W,34.60477395
YBL064C,33.1730091
YBL065W,32.9079246
YBL066C,32.28258144
YBL067C,31.5693261
YBL068W,31.5652566
YBL068W-A,31.6720688
YBL069W,31.75552784
YBL070C,31.8726438
YBL071C,31.9543566
YBL071C-B,32.1452324
YBL071W-A,32.0140944
YBL072C,32.29093074
YBL073W,32.4725539
YBL074C,32.5402208
YBL075C,32.5759875
YBL076C,32.1484734
YBL077W,31.8623774
YBL078C,31.7811733
YBL079W,31.637836
YBL080C,31.65317216
YBL081W,31.5287304
YBL082C,31.1504792
YBL083C,31.0087137
YBL084C,30.4555412
YBL085W,29.1799224
YBL086C,27.8050168
YBL087C,27.442123
YBL088C,27.5818149
YBL089W,29.8033412
YBL090W,30.6508393
YBL091C,31.4653547
YBL091C-A,32.27713962
YBL092W,32.7570304
YBL093C,33.75668224
YBL094C,34.1321756
YBL095W,34.2688928
YBL096C,34.4586048
YBL097W,35.11753593
YBL098W,35.8748534
YBL099W,36.2230943
YBL100C,36.27995569
YBL101C,36.9215725
YBL101W-C,36.6523537
YBL102W,37.34773483
YBL103C,37.7593212
YBL104C,38.84534112
YBL105C,40.82602
YBL106C,42.832402
YBL107C,43.6358884
YBL107W-A,43.8429174
YBL108C-A,43.91196048
YBL108W,43.9343422
YBL109W,43.5395794
YBL111C,42.6980384
YBL112C,42.1255488
YBL113C,41.566037
YBL113W-A,41.3235536
YBR001C,18.2439512
YBR002C,18.4280784
YBR003W,18.3747711
YBR004C,18.2522689
YBR005W,18.2037086
YBR006W,18.3136586
YBR007C,18.8618578
YBR008C,20.508279
YBR009C,21.7990252
YBR010W,22.42516248
YBR011C,23.039875
YBR012C,24.10511038
YBR013C,28.184978
YBR014C,28.9208615
YBR015C,29.5578505
YBR016W,30.0593122
YBR017C,30.406231
YBR018C,30.6222216
YBR019C,30.6576029
YBR020W,30.837212
YBR021W,31.2526363
YBR022W,31.6358064
YBR023C,32.38591707
YBR024W,34.2548406
YBR025C,34.9623982
YBR026C,35.91130898
YBR027C,36.1764462
YBR028C,36.4937648
YBR029C,36.9048864
YBR030W,37.0696
YBR031W,36.9564114
YBR032W,36.796688
YBR033W,36.405504
YBR034C,35.759632
YBR035C,35.351202
YBR036C,34.0895976
YBR037C,33.53503962
YBR038W,32.60717994
YBR039W,31.4986659
YBR040W,30.868664
YBR041W,30.0033892
YBR042C,29.279746
YBR043C,28.67212325
YBR044C,28.222555
YBR045C,28.4522891
YBR046C,29.081666
YBR047W,29.5927288
YBR048W,30.24548543
YBR049C,31.62737106
YBR050C,33.055139
YBR051W,33.39408303
YBR052C,34.0304862
YBR053C,34.8949272
YBR054W,37.1943464
YBR055C,38.1513858
YBR056W,38.2222272
YBR056W-A,37.7323334
YBR057C,37.47887505
YBR058C,37.0661292
YBR058C-A,36.6503452
YBR059C,35.9440908
YBR060C,34.783144
YBR061C,34.03043473
YBR062C,33.9983424
YBR063C,34.01886407
YBR064W,34.0307952
YBR065C,34.05922
YBR066C,34.05213293
YBR067C,33.87914411
YBR068C,33.4067395
YBR069C,32.61403174
YBR070C,31.9146837
YBR071W,31.5124535
YBR072C-A,30.7333566
YBR072W,30.941315
YBR073W,30.129621
YBR074W,29.043134
YBR076C-A,28.298768
YBR076W,28.3877784
YBR077C,28.21474012
YBR078W,27.8779146
YBR079C,27.1413364
YBR080C,26.18248743
YBR081C,25.4621634
YBR082C,25.5715243
YBR083W,26.05969521
YBR084C-A,26.02577595
YBR084W,26.2541468
YBR085C-A,25.979748
YBR085W,25.7635673
YBR086C,27.60893
YBR087W,30.08616008
YBR088C,30.99997
YBR089C-A,31.7036925
YBR089W,31.0816148
YBR090C,31.93445649
YBR091C,32.3054879
YBR092C,32.831202
YBR093C,33.3699934
YBR094W,33.4973682
YBR095C,33.606244
YBR096W,33.968326
YBR097W,35.67538463
YBR098W,38.394248
YBR099C,38.7898317
YBR101C,39.53150559
YBR102C,40.6815804
YBR103C-A,42.47478383
YBR103W,42.011921
YBR104W,42.8321262
YBR105C,43.2952348
YBR106W,43.6076956
YBR107C,43.68282116
YBR108W,43.5323925
YBR109C,43.1306365
YBR109W-A,42.9659044
YBR110W,42.7093584
YBR111C,42.0748625
YBR111W-A,41.8379656
YBR112C,41.4027864
YBR113W,41.141638
YBR114W,40.5680458
YBR115C,39.203764
YBR116C,37.3508123
YBR117C,36.4660662
YBR118W,33.416846
YBR119W,32.0509291
YBR120C,31.4027984
YBR121C,30.4945011
YBR121C-A,30.4783772
YBR122C,30.1204752
YBR123C,30.2494181
YBR124W,30.504821
YBR125C,30.9231376
YBR126C,31.8004995
YBR126W-A,32.420939
YBR126W-B,32.44062116
YBR127C,32.8694076
YBR128C,33.34548124
YBR129C,33.582468
YBR130C,33.71103593
YBR131C-A,33.7361675
YBR131W,33.72897545
YBR132C,33.71613972
YBR133C,33.96164541
YBR134W,34.24107
YBR135W,34.39376
YBR136W,35.7458398
YBR137W,37.7403023
YBR138C,38.196121
YBR139W,38.5733208
YBR140C,38.8718196
YBR141C,40.77645
YBR141W-A,40.6286922
YBR142W,41.5884485
YBR143C,42.1710815
YBR144C,42.49836766
YBR145W,42.6218545
