nuc_id,chr,center,coverage,gene,acc,gene_pos
1,1,229789,1.35,,,NaN
2,1,229589,6.91,,,NaN
3,1,229325,3.9,,,NaN
4,1,229174,4.61,,YAR075W,3
5,1,229013,5.7,,YAR075W,2
6,1,228837,6.42,,YAR075W,1
7,1,228683,6.27,,YAR075W,-1
8,1,228518,6.42,,YAR075W,-2
9,1,228354,2.67,,YAR075W,-3
10,1,228198,7.15,IMD1,YAR073W,5
11,1,228033,10.91,IMD1,YAR073W,4
12,1,227862,7.56,IMD1,YAR073W,3
13,1,227719,1.78,IMD1,YAR073W,2
14,1,227536,7.11,IMD1,YAR073W,1
15,1,227240,5.39,IMD1,YAR073W,-1
16,1,227070,5.62,IMD1,YAR073W,-2
17,1,226908,0.64,IMD1,YAR073W,-3
18,1,226745,6.7,PHO11,YAR071W,8
19,1,226577,5.26,PHO11,YAR071W,7
20,1,226399,4.96,PHO11,YAR071W,6
21,1,226258,3.72,PHO11,YAR071W,5
22,1,226057,4.62,PHO11,YAR071W,4
23,1,225886,4.51,PHO11,YAR071W,3
24,1,225702,7.19,PHO11,YAR071W,2
25,1,225543,6.08,PHO11,YAR071W,1
26,1,225382,7.8,PHO11,YAR071W,-1
27,1,225207,6.08,PHO11,YAR071W,-2
28,1,224942,3.9,,YAR070C,-1
29,1,224767,1.11,,YAR070C,1
30,1,224630,4.93,,YAR069C,-2
31,1,224453,4.05,,YAR069C,-1
32,1,224259,9.19,,YAR069C,1
33,1,224095,4.61,,YAR069C,2
34,1,223907,6.71,,,NaN
35,1,223671,5.78,,,NaN
36,1,223529,3.04,,,NaN
37,1,223339,8.08,,,NaN
38,1,223151,2.66,,,NaN
39,1,223035,2.99,,,NaN
40,1,222827,8.96,,,NaN
41,1,222668,7.06,,YAR068W,2
42,1,222505,8.83,,YAR068W,1
43,1,222321,11.24,,YAR068W,-1
44,1,222158,9.27,,YAR068W,-2
45,1,221994,7.7,,YAR068W,-3
46,1,221836,5.66,,,NaN
47,1,221661,5.75,,,NaN
48,1,221423,2.28,,YAR066W,3
49,1,221312,1.16,,YAR066W,2
50,1,221158,5.76,,YAR066W,1
51,1,220823,2.81,,YAR066W,-1
52,1,220670,3.05,,YAR066W,-2
53,1,220516,4.02,,YAR064W,2
54,1,220148,4.37,,YAR064W,-1
55,1,219960,3.9,,YAR064W,-2
56,1,219810,4.3,,YAR064W,-3
57,1,219622,6.15,,,NaN
58,1,219449,6.78,,,NaN
59,1,219271,6.51,,,NaN
60,1,219109,7.76,,,NaN
61,1,218959,5.16,,,NaN
62,1,218798,5.6,,,NaN
63,1,218623,6.17,,,NaN
64,1,218465,3.9,,,NaN
65,1,218321,2.79,,,NaN
66,1,218163,2.87,,,NaN
67,1,217968,9.03,,YAR060C,-3
68,1,217799,8.38,,YAR060C,-2
69,1,217643,5.27,,YAR060C,-1
70,1,217457,0.57,,YAR060C,1
71,1,217265,6.7,,YAR060C,2
72,1,217084,2.69,,,NaN
73,1,216912,6.59,,,NaN
74,1,216750,6.01,,,NaN
75,1,216566,5.12,,,NaN
76,1,216330,1.96,,,NaN
77,1,216175,4.17,,,NaN
78,1,216012,0.76,,,NaN
79,1,215843,2.48,,,NaN
80,1,215686,5.18,,,NaN
81,1,215511,2.04,,,NaN
82,1,215345,2.71,,,NaN
83,1,215170,2.82,,,NaN
84,1,214893,2.08,,,NaN
85,1,214732,3.46,,,NaN
86,1,214562,1.72,,,NaN
87,1,214424,5.02,,,NaN
88,1,214279,3.37,,,NaN
89,1,214052,2.16,,,NaN
90,1,213886,7.18,,,NaN
91,1,213713,4.63,,,NaN
92,1,213564,4.77,,,NaN
93,1,213403,8.76,,,NaN
94,1,213243,5.7,,,NaN
95,1,213069,3.86,,,NaN
96,1,212862,6.18,,,NaN
97,1,212695,5.86,,,NaN
98,1,212545,7.34,,,NaN
99,1,212374,3.52,,,NaN
100,1,212200,5.06,,,NaN
101,1,211956,3.86,,,NaN
102,1,211794,3.12,,,NaN
103,1,211610,3.93,,,NaN
104,1,211451,4.16,,,NaN
105,1,211286,2.53,,,NaN
106,1,210873,2.74,,,NaN
107,1,210691,5.45,,,NaN
108,1,210491,3.18,,,NaN
109,1,210274,4.03,,,NaN
110,1,210112,3.45,,,NaN
111,1,209945,3.19,,,NaN
112,1,209790,5.5,,,NaN
113,1,209610,0.83,,,NaN
114,1,209429,2.47,,,NaN
115,1,209267,5.91,,,NaN
116,1,209104,3.13,,,NaN
117,1,208947,4.66,,,NaN
118,1,208789,6.38,,,NaN
119,1,208584,1.52,,,NaN
120,1,208429,3.76,,YAR053W,3
121,1,208251,1.71,,YAR053W,2
122,1,208011,2.72,,YAR053W,1
123,1,207836,6.81,,YAR053W,-1
124,1,207669,7.28,,YAR053W,-2
125,1,207501,8.05,,YAR053W,-3
126,1,207310,7.03,FLO1,YAR050W,24
127,1,207137,8.89,FLO1,YAR050W,23
128,1,206951,6.41,FLO1,YAR050W,22
129,1,206778,3.03,FLO1,YAR050W,21
130,1,206646,3.21,FLO1,YAR050W,20
131,1,206315,5.54,FLO1,YAR050W,18
132,1,205992,1.19,FLO1,YAR050W,16
133,1,205873,5.64,FLO1,YAR050W,15
134,1,205625,4.15,FLO1,YAR050W,14
135,1,205388,5.05,FLO1,YAR050W,13
136,1,205240,2.34,FLO1,YAR050W,12
137,1,205106,4.8,FLO1,YAR050W,11
138,1,204912,3.09,FLO1,YAR050W,10
139,1,204770,1.89,FLO1,YAR050W,9
140,1,204559,2.79,FLO1,YAR050W,8
141,1,204417,0.94,FLO1,YAR050W,7
142,1,204240,2.89,FLO1,YAR050W,6
143,1,204131,3.69,FLO1,YAR050W,5
144,1,203936,6.36,FLO1,YAR050W,4
145,1,203740,2.73,FLO1,YAR050W,3
146,1,203472,5.82,FLO1,YAR050W,1
147,1,203321,4.96,FLO1,YAR050W,-1
148,1,203144,5.68,FLO1,YAR050W,-2
149,1,202973,5.91,FLO1,YAR050W,-3
150,1,202806,9.35,,,NaN
151,1,202505,6.39,,,NaN
152,1,202326,6.74,,YAR047C,-3
153,1,202163,5.05,,YAR047C,-2
154,1,201962,5.48,,YAR047C,-1
155,1,201799,5.27,,YAR047C,1
156,1,201642,2.84,,YAR047C,2
157,1,201460,5.15,,,NaN
158,1,201300,8.72,,,NaN
159,1,201139,2.25,,,NaN
160,1,201000,3.92,,,NaN
161,1,200817,4.33,,,NaN
162,1,200674,4.47,,,NaN
163,1,200376,5.22,,,NaN
164,1,200224,2.85,,,NaN
165,1,200066,3.39,,,NaN
166,1,199860,4.92,,,NaN
167,1,199681,3.35,,,NaN
168,1,199544,0.73,,,NaN
169,1,199338,2.83,,,NaN
170,1,199152,8.2,,,NaN
171,1,198971,7.81,,,NaN
172,1,198807,2.52,,,NaN
173,1,198407,3.59,,,NaN
174,1,198220,7.32,,,NaN
175,1,198051,7.02,,,NaN
176,1,197868,5.66,,,NaN
177,1,197692,5.91,,,NaN
178,1,197537,1.69,,,NaN
179,1,197348,8,,,NaN
180,1,197176,3.35,,,NaN
181,1,196992,2,,,NaN
182,1,196832,4.54,,,NaN
183,1,196617,2.83,,,NaN
184,1,196488,3.45,,,NaN
185,1,196240,2.67,,,NaN
186,1,196062,3.9,SWH1,YAR042W,23
