ACC	Name	chr	start	end	TSS	TTS	Expression	Description
YAL069W		chr01	335	649	NaN	NaN	4.43	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL068W-A		chr01	538	792	NaN	NaN	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
TEL01L-XC		chr01	801	337	NaN	NaN	NaN	
YAL068C	PAU8	chr01	2169	1807	NaN	NaN	0	Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions
YAL067W-A		chr01	2480	2707	NaN	NaN	0	Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
YAL067C	SEO1	chr01	9016	7235	9185	7056	3.4	Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide
YAL066W		chr01	10091	10399	9360	NaN	0	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL065C		chr01	11951	11565	NaN	NaN	6.61	Putative protein of unknown function; shows sequence similarity to FLO1 and other flocculins
YAL064W-B		chr01	12046	12426	11319	12182	11.42	Fungal-specific protein of unknown function
YAL064C-A	TDA8	chr01	13743	13363	NaN	12945	28.52	Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene
YAL064W		chr01	21566	21850	NaN	22250	0	Protein of unknown function; may interact with ribosomes, based on co-purification experiments
YAL063C-A		chr01	22685	22395	NaN	22045	3.73	Putative protein of unknown function; identified by expression profiling and mass spectrometry
YAL063C	FLO9	chr01	27968	24000	NaN	23926	21.85	Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation
YAL062W	GDH3	chr01	31567	32940	31107	31601	59.83	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication
YAL061W	BDH2	chr01	33448	34701	33360	34871	263.78	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3
YAL060W	BDH1	chr01	35155	36303	35098	36418	733.63	NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source
YAL059W	ECM1	chr01	36509	37147	36508	37266	132.22	Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm
YAL059C-A		chr01	36918	36496	NaN	NaN	111.83	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM1/YAL059W
YAL058W	CNE1	chr01	37464	38972	37381	39020	93.43	Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast
YAL056C-A		chr01	39046	38696	NaN	NaN	92.17	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL056W	GPB2	chr01	39259	41901	39216	40591	119.69	Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication
